,similarityIndex,user,card,rating
90,1.0,96,390,1.0
91,1.0,96,416,2.0
92,1.0,96,419,1.0
93,1.0,96,438,1.0
94,0.49999999999999983,108,26,1.0
95,0.49999999999999983,108,55,1.0
96,0.49999999999999983,108,57,2.0
97,0.49999999999999983,108,66,3.0
98,0.49999999999999983,108,79,2.0
99,0.49999999999999983,108,81,1.0
100,0.49999999999999983,108,137,1.0
101,0.49999999999999983,108,152,1.0
102,0.49999999999999983,108,166,1.0
103,0.49999999999999983,108,182,1.0
104,0.49999999999999983,108,185,1.0
105,0.49999999999999983,108,186,1.0
106,0.49999999999999983,108,228,1.0
107,0.49999999999999983,108,229,2.0
108,0.49999999999999983,108,236,1.0
109,0.49999999999999983,108,253,1.0
110,0.49999999999999983,108,266,1.0
111,0.49999999999999983,108,282,1.0
112,0.49999999999999983,108,293,1.0
113,0.49999999999999983,108,314,1.0
114,0.49999999999999983,108,327,1.0
115,0.49999999999999983,108,335,1.0
116,0.49999999999999983,108,340,1.0
117,0.49999999999999983,108,366,1.0
118,0.49999999999999983,108,395,1.0
119,0.49999999999999983,108,401,2.0
120,0.49999999999999983,108,402,2.0
121,0.49999999999999983,108,425,1.0
122,0.49999999999999983,108,427,1.0
123,0.49999999999999983,108,432,2.0
124,0.49999999999999983,108,433,1.0
125,0.49999999999999983,108,457,1.0
126,0.49999999999999967,23,1,1.0
127,0.49999999999999967,23,11,1.0
128,0.49999999999999967,23,23,2.0
129,0.49999999999999967,23,29,1.0
130,0.49999999999999967,23,34,1.0
131,0.49999999999999967,23,40,1.0
132,0.49999999999999967,23,45,2.0
133,0.49999999999999967,23,56,2.0
134,0.49999999999999967,23,79,1.0
135,0.49999999999999967,23,80,1.0
136,0.49999999999999967,23,89,1.0
137,0.49999999999999967,23,97,2.0
138,0.49999999999999967,23,116,2.0
139,0.49999999999999967,23,120,1.0
140,0.49999999999999967,23,125,1.0
141,0.49999999999999967,23,132,2.0
142,0.49999999999999967,23,138,1.0
143,0.49999999999999967,23,141,1.0
144,0.49999999999999967,23,146,1.0
145,0.49999999999999967,23,179,2.0
146,0.49999999999999967,23,205,2.0
147,0.49999999999999967,23,215,1.0
148,0.49999999999999967,23,223,1.0
149,0.49999999999999967,23,229,2.0
150,0.49999999999999967,23,249,1.0
151,0.49999999999999967,23,254,1.0
152,0.49999999999999967,23,258,1.0
153,0.49999999999999967,23,260,1.0
154,0.49999999999999967,23,266,2.0
155,0.49999999999999967,23,272,1.0
156,0.49999999999999967,23,284,2.0
157,0.49999999999999967,23,288,2.0
158,0.49999999999999967,23,306,1.0
159,0.49999999999999967,23,320,1.0
160,0.49999999999999967,23,322,2.0
161,0.49999999999999967,23,330,1.0
162,0.49999999999999967,23,348,1.0
163,0.49999999999999967,23,355,1.0
164,0.49999999999999967,23,390,1.0
165,0.49999999999999967,23,395,1.0
166,0.49999999999999967,23,396,1.0
167,0.49999999999999967,23,412,1.0
168,0.49999999999999967,23,422,1.0
169,0.49999999999999967,23,431,1.0
170,0.44721359549995776,67,17,1.0
171,0.44721359549995776,67,56,1.0
172,0.44721359549995776,67,66,2.0
173,0.44721359549995776,67,79,2.0
174,0.44721359549995776,67,96,1.0
175,0.44721359549995776,67,99,1.0
176,0.44721359549995776,67,137,2.0
177,0.44721359549995776,67,147,2.0
178,0.44721359549995776,67,149,2.0
179,0.44721359549995776,67,150,1.0
180,0.44721359549995776,67,172,1.0
181,0.44721359549995776,67,175,1.0
182,0.44721359549995776,67,182,1.0
183,0.44721359549995776,67,183,1.0
184,0.44721359549995776,67,204,1.0
185,0.44721359549995776,67,211,1.0
186,0.44721359549995776,67,227,1.0
187,0.44721359549995776,67,237,1.0
188,0.44721359549995776,67,272,1.0
189,0.44721359549995776,67,290,1.0
190,0.44721359549995776,67,293,1.0
191,0.44721359549995776,67,294,1.0
192,0.44721359549995776,67,298,1.0
193,0.44721359549995776,67,303,1.0
194,0.44721359549995776,67,335,1.0
195,0.44721359549995776,67,342,2.0
196,0.44721359549995776,67,372,1.0
197,0.44721359549995776,67,387,1.0
198,0.44721359549995776,67,390,1.0
199,0.44721359549995776,67,427,1.0
200,0.44721359549995776,67,430,1.0
201,0.44721359549995776,67,431,1.0
202,0.44721359549995776,67,446,1.0
203,0.3333333333333333,66,3,1.0
204,0.3333333333333333,66,5,1.0
205,0.3333333333333333,66,42,1.0
206,0.3333333333333333,66,45,3.0
207,0.3333333333333333,66,51,1.0
208,0.3333333333333333,66,62,1.0
209,0.3333333333333333,66,65,1.0
210,0.3333333333333333,66,66,2.0
211,0.3333333333333333,66,82,1.0
212,0.3333333333333333,66,96,1.0
213,0.3333333333333333,66,108,3.0
214,0.3333333333333333,66,111,1.0
215,0.3333333333333333,66,131,1.0
216,0.3333333333333333,66,139,1.0
217,0.3333333333333333,66,142,1.0
218,0.3333333333333333,66,148,2.0
219,0.3333333333333333,66,175,2.0
220,0.3333333333333333,66,185,1.0
221,0.3333333333333333,66,201,1.0
222,0.3333333333333333,66,213,1.0
223,0.3333333333333333,66,219,2.0
224,0.3333333333333333,66,225,1.0
225,0.3333333333333333,66,240,2.0
226,0.3333333333333333,66,307,1.0
227,0.3333333333333333,66,313,1.0
228,0.3333333333333333,66,320,1.0
229,0.3333333333333333,66,323,2.0
230,0.3333333333333333,66,334,2.0
231,0.3333333333333333,66,341,1.0
232,0.3333333333333333,66,351,1.0
233,0.3333333333333333,66,360,2.0
234,0.3333333333333333,66,377,1.0
235,0.3333333333333333,66,396,1.0
236,0.3333333333333333,66,398,2.0
237,0.3333333333333333,66,420,2.0
238,0.3333333333333333,66,430,1.0
239,0.3333333333333333,66,438,1.0
240,0.16666666666666619,105,22,1.0
241,0.16666666666666619,105,23,2.0
242,0.16666666666666619,105,30,1.0
243,0.16666666666666619,105,53,1.0
244,0.16666666666666619,105,66,1.0
245,0.16666666666666619,105,85,1.0
246,0.16666666666666619,105,89,1.0
247,0.16666666666666619,105,94,1.0
248,0.16666666666666619,105,98,2.0
249,0.16666666666666619,105,100,1.0
250,0.16666666666666619,105,103,2.0
251,0.16666666666666619,105,108,1.0
252,0.16666666666666619,105,111,2.0
253,0.16666666666666619,105,140,1.0
254,0.16666666666666619,105,142,1.0
255,0.16666666666666619,105,195,1.0
256,0.16666666666666619,105,196,1.0
257,0.16666666666666619,105,201,2.0
258,0.16666666666666619,105,203,2.0
259,0.16666666666666619,105,206,1.0
260,0.16666666666666619,105,207,2.0
261,0.16666666666666619,105,210,1.0
262,0.16666666666666619,105,230,1.0
263,0.16666666666666619,105,244,1.0
264,0.16666666666666619,105,253,2.0
265,0.16666666666666619,105,259,1.0
266,0.16666666666666619,105,266,2.0
267,0.16666666666666619,105,268,1.0
268,0.16666666666666619,105,280,1.0
269,0.16666666666666619,105,292,1.0
270,0.16666666666666619,105,311,2.0
271,0.16666666666666619,105,346,2.0
272,0.16666666666666619,105,349,1.0
273,0.16666666666666619,105,365,1.0
274,0.16666666666666619,105,370,1.0
275,0.16666666666666619,105,376,1.0
276,0.16666666666666619,105,399,1.0
277,0.16666666666666619,105,401,1.0
278,0.16666666666666619,105,408,2.0
279,0.16666666666666619,105,420,2.0
280,0.0,1,1,3.0
281,0.0,1,2,1.0
282,0.0,1,3,3.0
283,0.0,1,5,1.0
284,0.0,1,6,1.0
285,0.0,1,7,3.0
286,0.0,1,8,1.0
287,0.0,1,9,2.0
288,0.0,1,10,1.0
289,0.0,1,11,1.0
290,0.0,1,12,1.0
291,0.0,1,16,2.0
292,0.0,1,17,3.0
293,0.0,1,19,3.0
294,0.0,1,21,1.0
295,0.0,1,24,1.0
296,0.0,1,25,1.0
297,0.0,1,26,3.0
298,0.0,1,28,1.0
299,0.0,1,29,2.0
300,0.0,1,33,1.0
301,0.0,1,35,1.0
302,0.0,1,43,1.0
303,0.0,1,44,3.0
304,0.0,1,46,2.0
305,0.0,1,49,1.0
306,0.0,1,50,2.0
307,0.0,1,52,1.0
308,0.0,1,54,3.0
309,0.0,1,61,1.0
310,0.0,1,84,1.0
311,0.0,1,87,1.0
312,0.0,1,89,2.0
313,0.0,1,90,2.0
314,0.0,1,94,1.0
315,0.0,1,104,2.0
316,0.0,1,105,1.0
317,0.0,1,118,2.0
318,0.0,1,119,2.0
319,0.0,1,120,1.0
320,0.0,1,133,1.0
321,0.0,1,151,1.0
322,0.0,1,152,2.0
323,0.0,1,157,1.0
324,0.0,1,178,1.0
325,0.0,1,181,2.0
326,0.0,1,189,1.0
327,0.0,1,199,1.0
328,0.0,1,203,1.0
329,0.0,1,261,1.0
330,0.0,1,279,1.0
331,0.0,1,282,3.0
332,0.0,1,297,1.0
333,0.0,1,305,1.0
334,0.0,1,306,3.0
335,0.0,1,311,1.0
336,0.0,1,348,2.0
337,0.0,1,364,1.0
338,0.0,1,366,1.0
339,0.0,1,370,1.0
340,0.0,1,387,1.0
341,0.0,1,405,1.0
342,0.0,1,413,2.0
343,0.0,1,414,1.0
344,0.0,1,417,2.0
345,0.0,1,446,1.0
346,0.0,1,448,1.0
347,0.0,1,450,1.0
348,0.0,1,459,3.0
349,0.0,1,460,3.0
350,0.0,3,5,1.0
351,0.0,3,6,1.0
352,0.0,3,29,1.0
353,0.0,3,39,1.0
354,0.0,3,58,1.0
355,0.0,3,66,1.0
356,0.0,3,81,1.0
357,0.0,3,92,2.0
358,0.0,3,98,1.0
359,0.0,3,108,1.0
360,0.0,3,122,1.0
361,0.0,3,132,1.0
362,0.0,3,135,2.0
363,0.0,3,141,2.0
364,0.0,3,156,1.0
365,0.0,3,161,1.0
366,0.0,3,166,1.0
367,0.0,3,182,1.0
368,0.0,3,192,1.0
369,0.0,3,203,2.0
370,0.0,3,205,1.0
371,0.0,3,211,1.0
372,0.0,3,222,1.0
373,0.0,3,232,2.0
374,0.0,3,245,1.0
375,0.0,3,246,1.0
376,0.0,3,275,1.0
377,0.0,3,285,1.0
378,0.0,3,308,2.0
379,0.0,3,314,1.0
380,0.0,3,331,1.0
381,0.0,3,336,1.0
382,0.0,3,386,1.0
383,0.0,3,412,2.0
384,0.0,3,414,2.0
